id,number,project_id,patch_type,is_conflicting,is_done
227,15033,1,MO,0,1
228,15392,1,MO,0,1
229,15889,1,MO,1,1
230,15792,1,MO,1,1
231,15904,1,MO,0,1
232,15015,1,MO,1,1
233,15784,1,MO,0,1
234,14996,1,MO,0,1
235,15910,1,MO,1,1
236,15922,1,MO,0,1
237,17078,1,MO,0,1
238,17269,1,MO,1,1
239,17353,1,MO,1,1
240,17319,1,MO,0,1
241,17312,1,MO,1,1
242,16661,1,MO,1,1
243,16709,1,MO,0,1
244,16720,1,MO,0,1
245,17207,1,MO,1,1
246,16722,1,MO,1,1
247,17203,1,MO,1,1
248,16730,1,MO,1,1
249,16646,1,MO,1,1
250,17374,1,MO,0,0
255,17379,1,MO,0,1
256,17382,1,MO,0,1
257,17384,1,MO,0,1
258,17411,1,MO,1,1
259,16623,1,MO,1,1
260,16570,1,MO,1,1
261,16559,1,MO,0,1
262,16558,1,MO,1,1
263,16509,1,MO,1,1
264,16508,1,MO,1,1
265,17541,1,MO,0,1
266,17191,1,MO,1,1
267,16736,1,MO,1,1
268,16933,1,MO,1,1
269,16954,1,MO,1,1
270,16956,1,MO,0,1
271,16975,1,MO,0,1
272,16988,1,MO,1,1
273,16994,1,MO,0,1
274,17004,1,MO,0,1
275,17025,1,MO,1,1
276,17026,1,MO,1,1
277,17049,1,MO,0,1
278,17050,1,MO,1,1
279,17053,1,MO,1,1
280,16745,1,MO,1,1
281,17072,1,MO,0,1
282,16807,1,MO,1,1
283,17092,1,MO,1,1
284,17118,1,MO,1,1
285,17146,1,MO,1,1
286,17168,1,MO,0,1
287,16753,1,MO,1,1
288,17583,1,MO,0,1
289,16591,1,MO,1,1
290,16372,1,MO,0,1
291,16353,1,MO,1,1
292,16346,1,MO,1,1
293,17702,1,MO,1,1
294,17709,1,MO,0,1
295,17720,1,MO,1,1
296,17739,1,MO,0,1
297,16303,1,MO,0,1
298,17782,1,MO,0,1
299,17788,1,MO,1,1
300,17805,1,MO,0,1
301,17819,1,MO,1,1
302,17822,1,MO,1,1
303,17834,1,MO,0,1
304,16272,1,MO,1,1
305,17855,1,MO,1,1
306,17856,1,MO,1,1
307,16245,1,MO,1,1
308,17889,1,MO,1,1
309,17915,1,MO,0,1
310,17917,1,MO,0,1
311,17919,1,MO,1,1
312,16194,1,MO,1,1
313,16359,1,MO,0,1
314,17625,1,MO,0,1
315,17612,1,MO,0,1
316,17645,1,MO,0,1
317,16384,1,MO,1,1
318,16416,1,MO,0,1
319,16421,1,MO,1,1
320,18492,1,MO,0,1
321,18373,1,MO,1,1
322,18146,1,MO,1,1
323,18548,1,MO,1,1
324,18418,1,MO,1,1
325,18123,1,MO,0,1
326,18109,1,MO,0,1
327,18211,1,MO,0,1
328,18509,1,MO,0,1
329,18611,1,MO,1,1
330,18269,1,MO,1,1
331,18486,1,MO,0,1
332,18632,1,MO,1,1
333,18386,1,MO,0,1
334,18382,1,MO,1,1
335,18647,1,MO,0,1
336,18279,1,MO,0,1
337,18340,1,MO,1,1
338,18287,1,MO,0,1
339,18681,1,MO,0,1
340,18327,1,MO,0,1
341,18289,1,MO,0,1
342,18296,1,MO,1,1
343,18317,1,MO,1,1
344,18199,1,MO,1,1
345,18151,1,MO,0,1
346,19052,1,MO,1,1
347,19195,1,MO,0,1
348,19185,1,MO,1,1
349,18857,1,MO,0,1
350,18860,1,MO,0,1
351,18866,1,MO,0,1
352,19146,1,MO,0,1
353,19145,1,MO,1,1
354,19136,1,MO,1,1
355,18877,1,MO,1,1
356,19111,1,MO,0,1
357,19109,1,MO,1,1
358,19076,1,MO,1,1
359,18945,1,MO,1,1
360,19040,1,MO,1,1
361,19039,1,MO,1,1
362,19027,1,MO,1,1
363,19188,1,MO,1,1
364,19156,1,MO,0,1
365,18835,1,MO,1,1
366,19354,1,MO,1,1
367,19230,1,MO,0,1
368,19240,1,MO,1,1
369,19345,1,MO,1,1
370,19374,1,MO,0,1
371,18798,1,MO,0,1
372,19319,1,MO,0,1
373,19314,1,MO,1,1
374,12893,1,SP,0,1
375,13182,1,SP,1,1
376,12802,1,SP,1,1
377,12704,1,SP,1,1
378,13183,1,SP,1,1
379,12259,1,SP,1,1
380,14103,1,SP,1,1
381,14277,1,SP,0,1
382,14302,1,SP,0,1
383,14314,1,SP,1,1
384,14320,1,SP,1,1
385,14769,1,SP,1,1
386,14741,1,SP,0,1
387,14680,1,SP,1,1
388,15491,1,SP,0,1
389,15149,1,SP,1,1
390,15919,1,SP,1,1
391,16738,1,SP,1,1
392,17095,1,SP,0,0
394,16450,1,SP,1,1
395,16344,1,SP,1,1
396,18678,1,SP,1,1
397,18994,1,SP,1,1
398,18780,1,SP,1,1
428,144,7,MO,0,1
429,118,7,MO,0,1
431,939,8,MO,0,1
491,9163,14,MO,1,1
492,9335,14,MO,1,0
493,9241,14,MO,1,1
494,9079,14,MO,1,1
495,9076,14,MO,1,1
496,9039,14,MO,1,1
497,9024,14,MO,1,1
498,9019,14,MO,1,1
499,9340,14,MO,1,1
500,9358,14,MO,1,1
501,9436,14,MO,1,1
502,9837,14,MO,1,0
503,9834,14,MO,1,1
504,9832,14,MO,0,1
505,9750,14,MO,1,0
506,9609,14,MO,1,1
507,9590,14,MO,1,1
508,9588,14,MO,1,1
509,9583,14,MO,1,1
510,9537,14,MO,1,1
511,8857,14,MO,1,1
512,8022,14,MO,1,1
513,7995,14,MO,1,1
514,7990,14,MO,0,1
515,3308,14,MO,1,1
516,3179,14,MO,1,1
517,3136,14,MO,1,1
518,3068,14,MO,1,1
519,3063,14,MO,1,1
520,3015,14,MO,1,0
521,2924,14,MO,1,1
522,8210,14,MO,1,1
523,8383,14,MO,1,0
524,8784,14,MO,1,1
525,8488,14,MO,0,1
526,8465,14,MO,1,1
527,8446,14,MO,1,1
528,8410,14,MO,1,1
529,2915,14,MO,1,1
530,10293,14,MO,1,1
531,10136,14,MO,1,1
532,10137,14,MO,1,1
533,10485,14,MO,1,1
534,10618,14,SP,1,1
535,9334,14,SP,1,0
536,9269,14,SP,1,1
537,10617,14,SP,1,1
538,3329,14,SP,1,1
539,8842,14,SP,1,1
540,8481,14,SP,1,1
541,10359,14,SP,1,1
542,10358,14,SP,1,1
543,10519,14,SP,1,1
544,2785,15,MO,1,1
545,2731,15,MO,1,1
546,2620,15,MO,1,1
547,2488,15,MO,1,1
548,2368,15,MO,1,1
549,1760,15,MO,1,1
550,2785,16,MO,1,1
551,2731,16,MO,1,1
552,2620,16,MO,1,1
553,2488,16,MO,1,1
554,2368,16,MO,1,1
555,1760,16,MO,1,1
561,7077,18,MO,1,0
562,6899,18,MO,1,0
563,7052,18,MO,1,0
564,6995,18,SP,1,0
565,7041,18,SP,1,0
568,468,21,SP,1,1
569,401,21,MO,0,1
571,491,21,MO,1,0
572,390,21,MO,1,0
573,426,21,MO,1,1
575,504,21,MO,1,0
576,505,21,MO,1,1
577,1187,22,MO,1,1
580,30,24,MO,1,1
581,1083,25,MO,1,1
582,999,25,MO,1,1
583,1155,25,MO,0,1
